Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
5146,Greater understanding of self,,"My political views have changed since I have been incarcerated because through self-discovery into my own issues that lead me to prison & the recovery process, I have become very interested in the problems our country is faced with & solutions to these issues that involves all of us, especially the issues that involve crime & punishment. Many of these issues can be resolved in the rearing of our children. I had anger issues associated with a traumatic childhood & very dysfunctional parents. Mant times I sought help with authorities who turned a blind eye. My psychological & emotional issues lead me down the path of antisocial behavioral patterns. I was bullied, beaten & tormented for years by abusive parents. I understand why people who are damaged & hurting can be hurtful to others, wanting others to feel rhe pain & suffering they feel inside. This is a serious problem facing this country, not only from the innocent lives destroyed in our schools & neighborhoods but the social & economic issues facing this c",,,"I think too much is made of racial identity today, especially where my political views are concerned. In my view all human beings are created equal & political views shouldn't be influenced by race. Political views should be intellectually discerned by a fair & balanced approach to the political system regardless of race. ",,,,,,,,,,,
2373,N/A,,Idk,Does not know,,Idk,,,,,,,,,,,
2103,Experience in prison,,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.,Does not affect opinion ,,My racial.identity has nothing to.do.with the fact that i want equality and an uncorrupted government to care about the well being of its people without greed and the hunger for power and also the destruction of other countries and peoples solely for monetary gain.,,,,,,,,,,,
321,Views on political parties,,"Yes, due the fact that the political parties and their corrupt ways of running this country.",Not racist ,,I have no .problem with racial identity.,,,,,,,,,,,
6935,Time,,I didnt have any before,Experience because of race,,Im mexican and it seems we are the new black slaves,,,,,,,,,,,
3668,Religion,,"When I came to prison I was 17 years old. All of my political views revolved around my self interests. Now my politics are influenced by values that I have conciously decided to live my life by. First and foremost, Jesus Christ.",Impacts point of view,,"My racial identity is a fundamental part of my worldview. My family are Mexicans, and I am always seeing issues through a paradigm that is tinted by the life experience of a Mexican man.",,,,,,,,,,,
3095,Importance of political voice,,"Yes,we are a US citizen of our country.We regardles of mistakes and bad choices,our vote and voice should matter.",Experience because of race,,Most mexican american race have to deal with sterio type.But we have the same american dream.To be proud to be an american to have a chance to make a change in life.and be viewed as any human who makes mistakes in life.,,,,,,,,,,,
7971,Believes political vote matters more now,,Yes bevause i lack acknowledgement because i dont have the right to vote,Racism is bad,,I think racism is just a sad fact of this world,,,,,,,,,,,
7565,None,,[No],All people are equal ,,"[Not at all] I believe everyone is equal in every right regardless of race, religions, ethnicity, or gender identifications.",,,,,,,,,,,
4462,Expanded Views,,I know whats real,Experience because of race,,Im black so i know people wil lie just to appeal to me,,,,,,,,,,,
1032,Need for change in system,,Made me realize that the government doesn't care about us it's all about money,Politician's preferences towards race,,People think president is racist,,,,,,,,,,,
2439,Need for change in system,,Si que fuese parejo para todos que no hubiera rrasismo.,,,Si hay mucho rasismo por muchis programas para la hayuda de sus sentencias a los americanos y a mexicanos los niegan por ser de otro pais,,,,,,,,,,,
5978,Need for change in system,,I think more leniency for women defending themselves in a domestic violence situation who are only defending themselves after years of being in such a relationship and believing the abuser instead of the victom. I also think when drug offenders are constintly breing arrested and af,Treatment because of race,,I believe different races are not heard as much as the cocasion race is. I bel,,,,,,,,,,,
